"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",13,22000000,210,"ほぼ長方形",17,105,"2020年","木造","住宅","住宅","北","市道",6,"２中住専",60,150,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",13,22000000,210,"長方形",17,105,"2020年","木造","住宅","住宅","北","市道",6,"２中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",19,4300000,155,"ほぼ整形",11.4,150,"1986年","木造","住宅","その他","南","市道",4,"１中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",13,40000000,280,"ほぼ長方形",14,"","","","","","南西","市道",8,"２中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",13,24000000,210,"長方形",16,105,"2020年","木造","住宅","住宅","北","市道",6,"２中住専",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",16,19000000,175,"長方形",12.5,110,"2005年","ＲＣ","住宅","住宅","北","私道",4,"準住居",60,200,"2020年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",24,21000000,310,"ほぼ整形",8,105,"2019年","木造","住宅","住宅","南","市道",4,"１中住専",60,200,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",16,17000000,145,"不整形",17.5,100,"2019年","木造","住宅","住宅","南東","市道",4,"１中住専",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",28,27000000,230,"ほぼ長方形",15,120,"2019年","木造","住宅","住宅","南","市道",5.8,"１中住専",60,200,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",28,28000000,230,"ほぼ長方形",15,115,"2019年","木造","住宅","住宅","南","市道",2.8,"１中住専",60,200,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川町","赤塚",29,34000000,230,"長方形",13.3,130,"","","","住宅","南東","市道",6.3,"１低住専",40,80,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川町","赤塚",28,36000000,230,"ほぼ長方形",13,110,"2019年","軽量鉄骨造","住宅","住宅","南東","市道",6,"１低住専",40,80,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","泉町","水戸",18,10000000,125,"ほぼ長方形",7.5,170,"戦前","木造","住宅、店舗","その他","北西","市道",9,"商業",80,400,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","牛伏町","内原","30分～60分",7000000,250,"不整形",21,75,"1996年","木造","住宅","住宅","南東","農道",2.2,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原","内原",4,40000000,260,"ほぼ長方形",13,125,"2020年","木造","住宅","住宅","北西","市道",10,"近隣商業",80,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原","内原",3,46000000,190,"ほぼ整形",13.5,115,"","","","住宅","東","市道",8,"１低住専",40,80,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",19,32000000,250,"ほぼ正方形",15.5,115,"2020年","木造","住宅","住宅","南西","市道",6.3,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",20,31000000,250,"台形",11,115,"2021年","木造","住宅","住宅","東","県道",22,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",7,4500000,310,"ほぼ長方形","",120,"1973年","木造","住宅","住宅","北東","私道",5,"１低住専",40,80,"2020年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",15,20000000,195,"台形",11.1,105,"2020年","木造","住宅","住宅","南東","市道",3.9,"１低住専",40,80,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",19,46000000,310,"ほぼ正方形",21.5,130,"","","","住宅","西","市道",7.5,"１低住専",50,100,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",19,21000000,250,"長方形",17.9,105,"2020年","木造","住宅","住宅","北東","市道",6.3,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",13,47000000,240,"ほぼ長方形",14,"","","","","","北西","市道",6.3,"１低住専",40,80,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",16,21000000,195,"ほぼ長方形",13.5,105,"2020年","木造","住宅","住宅","南","市道",4,"１低住専",40,80,"2020年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",21,21000000,250,"ほぼ長方形",23.5,105,"2020年","木造","住宅","住宅","北東","市道",6.4,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",20,24000000,250,"長方形",10,115,"2019年","木造","住宅","住宅","南東","市道",3,"１低住専",40,80,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",16,21000000,195,"ほぼ整形",11,105,"2020年","木造","","住宅","南東","市道",3.5,"１低住専",40,80,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",25,31000000,260,"長方形",18,105,"2020年","木造","住宅","住宅","南","市道",6,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",9800000,260,"ほぼ整形",14,140,"1985年","木造","住宅","事務所","北西","市道",9.5,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",51000000,930,"ほぼ長方形",21,360,"2020年","","共同住宅","住宅","東","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",23,22000000,260,"長方形",19.5,105,"","","","住宅","西","市道",5.2,"１低住専",40,80,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",18,19000000,290,"袋地等",4,105,"2020年","木造","住宅","住宅","北西","市道",2.7,"準工業",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",16,20000000,210,"ほぼ長方形",11.5,105,"2020年","木造","住宅","住宅","北西","市道",2.5,"準工業",60,200,"2020年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",4000000,280,"ほぼ整形",14.5,50,"1974年","木造","住宅","住宅","南西","市道",10,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",16,19000000,180,"ほぼ長方形",10,105,"2019年","木造","住宅","住宅","南西","私道",4.5,"準工業",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",16,16000000,220,"袋地等",5,110,"2019年","木造","住宅","住宅","南西","私道",4.5,"準工業",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",25000000,260,"ほぼ台形",14.1,85,"2020年","木造","住宅","住宅","南","私道",6.5,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",20,5000000,330,"ほぼ正方形",18.3,35,"1990年","木造","住宅","住宅","南","道路",5.4,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",22000000,250,"ほぼ長方形",11.5,115,"2020年","木造","住宅","住宅","北","市道",6.3,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚","30分～60分",20000000,330,"ほぼ長方形",15,80,"","","","","西","市道",4,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",23,20000000,200,"ほぼ長方形",18.5,105,"2020年","木造","住宅","","東","市道",5.5,"１低住専",40,80,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大場町","常澄","1H～1H30",14000000,250,"ほぼ整形",25,250,"1992年","軽量鉄骨造","住宅","住宅","南","市道",6,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",17000000,195,"袋地等",3,95,"2020年","木造","住宅","住宅","北","市道",4,"２中住専",60,200,"2020年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",35000000,460,"ほぼ正方形",21,210,"1997年","鉄骨造","事務所、店舗","店舗","東","市道",10,"２中住専",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",36000000,1100,"ほぼ整形",15,480,"1986年","鉄骨造","事務所","","南","市道",7,"準工業",60,200,"2020年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",7000000,190,"ほぼ長方形",15,70,"1986年","木造","住宅","住宅","北","市道",4,"１低住専",40,80,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",45000000,250,"長方形",13,145,"2018年","木造","住宅","住宅","南西","市道",6.5,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",35000000,320,"袋地等","",115,"2020年","木造","住宅","住宅","南","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",19000000,370,"ほぼ長方形",21,260,"1998年","木造","住宅、店舗","住宅","西","道路",4,"１低住専",40,80,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",33000000,260,"ほぼ正方形",16.5,125,"","","","住宅","南東","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",29000000,260,"長方形",16.5,100,"2021年","","住宅","住宅","東","市道",5.4,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",34000000,250,"長方形",14,95,"2021年","木造","住宅","住宅","南東","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",13000000,220,"ほぼ長方形",14,150,"1988年","軽量鉄骨造","住宅","住宅","東","市道",5,"１低住専",40,80,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",34000000,250,"ほぼ長方形",19,115,"2020年","木造","住宅","住宅","南東","市道",6,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",18000000,140,"袋地等",3.5,95,"2020年","木造","住宅","住宅","南西","市道",6,"１低住専",50,100,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",7800000,340,"ほぼ正方形",18,120,"1975年","木造","住宅","","南","市道",3.5,"１低住専",50,100,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",37000000,250,"長方形",18,120,"","","","住宅","南西","市道",6,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",33000000,270,"ほぼ長方形",18,110,"2019年","木造","住宅","住宅","西","市道",6,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",49000000,"2,000㎡以上","ほぼ長方形",35.8,830,"1979年","鉄骨造","事務所、倉庫","事務所","東","市道",16.8,"近隣商業",80,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",34000000,260,"長方形",15,115,"2020年","木造","住宅","住宅","南西","市道",7,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","金町","水戸","30分～60分",8000000,195,"ほぼ整形",18,150,"2001年","木造","住宅","住宅","南東","市道",4.5,"２種住居",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分～60分",45000000,400,"不整形",34,200,"2013年","木造","共同住宅","住宅","東","市道",3.8,"２種住居",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分～60分",36000000,230,"ほぼ台形",20.5,150,"2016年","木造","住宅","住宅","南西","市道",6,"準工業",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",8600000,190,"不整形",9,"","","","","住宅","西","市道",7,"２種住居",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",29000000,540,"長方形",17.5,175,"1996年","木造","住宅","","南西","市道",5.5,"近隣商業",80,400,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",14000000,540,"ほぼ長方形",17.5,175,"1996年","木造","住宅","","南西","市道",5.5,"商業",80,400,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",23000000,300,"ほぼ台形",20.5,110,"2020年","木造","住宅","住宅","北東","私道",4,"準工業",60,200,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","河和田","赤塚",4,16000000,110,"台形",9,95,"2004年","木造","住宅","住宅","北","市道",17,"１種住居",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",20,25000000,250,"長方形",16,110,"2019年","木造","住宅","住宅","東","市道",8,"１中住専",60,200,"2020年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",13,24000000,175,"ほぼ長方形",6,120,"2019年","木造","住宅","住宅","南","市道",4.5,"１中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",21,31000000,250,"台形",12,125,"","","住宅","住宅","北","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",11,45000000,1000,"長方形",24,370,"1999年","鉄骨造","共同住宅","住宅","南","市道",8,"１中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",11,23000000,175,"ほぼ台形",10,105,"2020年","木造","住宅","住宅","南東","市道",4.2,"１中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",21,20000000,210,"ほぼ長方形",9.1,100,"2020年","木造","住宅","住宅","北西","市道",1.9,"１中住専",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",28,17000000,210,"不整形","",105,"2020年","木造","住宅","住宅","南","私道",6,"１中住専",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",29,29000000,240,"ほぼ台形",17.2,"","","","","住宅","南東","私道",6,"１中住専",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",24,20000000,175,"正方形",13,105,"2019年","木造","住宅","住宅","東","道路",5,"１中住専",60,200,"2020年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",16,23000000,720,"ほぼ長方形",23,"","1998年","","","住宅","南","市道",7.3,"１中住専",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",29,28000000,270,"ほぼ長方形",15.5,125,"2020年","","住宅","","南西","市道",5,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",28,140000000,"2,000㎡以上","不整形","",1100,"2013年","鉄骨造","その他","その他","南東","市道",15,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",43000000,280,"ほぼ長方形",25,165,"2020年","木造","住宅","住宅","南東","市道",6,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",19000000,300,"ほぼ長方形",11,90,"2013年","木造","住宅","","北西","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",13000000,240,"長方形","",110,"1990年","木造","住宅","住宅","南東","私道",4,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",35000000,510,"袋地等","",145,"2020年","","住宅","住宅","北","市道",6.3,"調整区域",60,200,"2020年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",28,40000000,180,"ほぼ長方形",6,390,"2020年","","住宅","","東","道路",4,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",28,18000000,800,"長方形",22,85,"2006年","木造","住宅","住宅","北西","市道",2.5,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",29000000,300,"正方形",17.5,120,"2020年","木造","住宅","住宅","北東","市道",6,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",3500000,430,"ほぼ長方形",15,110,"1973年","木造","住宅","住宅","南東","市道",2.4,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",25,20000000,300,"不整形","","","","","","","北西","市道",2.8,"調整区域",60,200,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","鯉淵町","内原","30分～60分",19000000,260,"正方形",15,110,"2009年","木造","住宅","住宅","南","市道",5,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","鯉淵町","内原","1H～1H30",35000000,270,"長方形",14.8,115,"","","","住宅","東","市道",6,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","鯉淵町","内原","30分～60分",6000000,420,"台形",17,65,"戦前","木造","住宅","住宅","南東","市道",6.5,"調整区域",60,200,"2020年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","五軒町","水戸",19,45000000,160,"正方形",13,510,"1999年","ＲＣ","住宅、事務所、倉庫、駐車場","事務所","南西","市道",16,"近隣商業",80,400,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","五軒町","水戸",26,8100000,135,"ほぼ長方形",13,220,"1976年","ＲＣ","住宅、事務所、店舗","事務所","南東","市道",9,"２種住居",60,300,"2020年第3四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","五軒町","水戸",29,3700000,140,"長方形",9.5,"","1973年","木造","住宅、作業場","その他","北西","市道",5,"近隣商業",80,400,"2020年第1四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","五軒町","水戸",20,110000000,100,"ほぼ整形","",175,"1972年","鉄骨造","住宅、店舗","その他","南","市道",11.7,"近隣商業",80,400,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小吹町","赤塚","30分～60分",14000000,1200,"不整形",16.5,165,"1989年","木造","住宅","住宅","南西","市道",5,"調整区域",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","栄町","水戸",26,40000000,240,"長方形",18,570,"1981年","ＲＣ","共同住宅、店舗","事務所","北東","市道",9,"商業",80,400,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","栄町","水戸","30分～60分",11000000,300,"ほぼ整形",9,330,"1971年","鉄骨造","住宅、店舗","住宅","南東","市道",5.5,"近隣商業",80,400,"2020年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","東水戸","30分～60分",22000000,850,"ほぼ整形","",85,"2011年","木造","住宅","","南東","市道",3.2,"調整区域",60,200,"2020年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","1H～1H30",19000000,175,"長方形",10,105,"2020年","木造","住宅","住宅","北東","道路",6,"工業",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","1H～1H30",23000000,190,"長方形",15.4,100,"2020年","木造","住宅","住宅","北西","道路",6,"工業",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","1H～1H30",3800000,175,"ほぼ長方形",10.4,60,"1979年","木造","住宅","住宅","北東","道路",4,"工業",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","30分～60分",60000000,670,"ほぼ台形",18.5,1000,"2005年","鉄骨造","事務所、駐車場、店舗","店舗","北東","国道",30.5,"工業",60,200,"2020年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","30分～60分",40000000,550,"不整形","",320,"1991年","鉄骨造","共同住宅","住宅","南西","市道",3,"工業",60,200,"2020年第4四半期",""
